[2.6898207925829878, 3.2233556013837283]
[3.303230673950392, 4.1206649821757075]
[2.2666837334648844, 3.2107361332116695]
[3.2683912929102061, 3.8569039745622833]
[3.5510592646415455, 3.8083565063761897]
[3.2519598858607117, 4.3969637417129093]
[-0.15396249041537466, 2.3944683966710159]
[2.4340952607722541, 3.7158682511109928]
[3.3093224630496443, 3.5298007562616442]
[3.5806361224127716, 4.1533516074713877]
[2.9470745417173583, 3.5875127940310558]
[2.9504729809199324, 3.9051720323572257]
[2.8982840004042782, 2.8552622979717737]
[0.90615408696386801, -2.0971662753455913]
[2.1186552339065292, 3.6696360936269672]
[2.4804111107142566, 3.3946416671425905]
[3.2129363115882041, 3.4296606411491819]
[2.6673965144512644, 4.3940591696075684]
[3.754681411182303, 3.8790657699013558]
[2.5697322393645492, 3.7261284876737197]
[3.1971375540880014, 3.9254018580267616]
[2.488787989992673, 4.1086893962135331]
[3.0125091905649861, 3.325481943961385]
[3.1534248103768037, 3.5698307141546053]
[1.6297392425767194, 3.844120598872943]
[2.0397901271767429, 2.1409414075799944]
[3.7120011653291165, 6.4875904782629252]
[2.372489646699262, 4.1555803175021024]
[2.3370136411994635, 3.3643244701539738]
[2.9529388054567258, 4.0278887011835049]
